0,99000000000000000000,10000000000000000,990000000000000000,
1000000000000000000,83033613445378151260,11900000000000000,988100000000000000,
2000000000000000000,71463768115942028986,13800000000000000,986200000000000000,
3000000000000000000,62694267515923566879,15700000000000000,984300000000000000,
4000000000000000000,55818181818181818181,17600000000000000,982400000000000000,
5000000000000000000,50282051282051282051,19500000000000000,980500000000000000,
6000000000000000000,45728971962616822430,21400000000000000,978600000000000000,
7000000000000000000,41918454935622317596,23300000000000000,976700000000000000,
8000000000000000000,38682539682539682539,25200000000000000,974800000000000000,
9000000000000000000,35900369003690036900,27100000000000000,972900000000000000,
10000000000000000000,33482758620689655172,29000000000000000,971000000000000000,
11000000000000000000,31362459546925566343,30900000000000000,969100000000000000,
12000000000000000000,29487804878048780487,32800000000000000,967200000000000000,
13000000000000000000,27818443804034582132,34700000000000000,965300000000000000,
14000000000000000000,26322404371584699453,36600000000000000,963400000000000000,
15000000000000000000,24974025974025974026,38500000000000000,961500000000000000,
16000000000000000000,23752475247524752475,40400000000000000,959600000000000000,
17000000000000000000,22640661938534278959,42300000000000000,957700000000000000,
18000000000000000000,21624434389140271493,44200000000000000,955800000000000000,
19000000000000000000,20691973969631236442,46100000000000000,953900000000000000,
20000000000000000000,19833333333333333333,48000000000000000,952000000000000000,
21000000000000000000,19040080160320641282,49900000000000000,950100000000000000,
22000000000000000000,18305019305019305019,51800000000000000,948200000000000000,
23000000000000000000,17621973929236499069,53700000000000000,946300000000000000,
24000000000000000000,16985611510791366906,55600000000000000,944400000000000000,
25000000000000000000,16391304347826086956,57500000000000000,942500000000000000,
26000000000000000000,15835016835016835016,59400000000000000,940600000000000000,
27000000000000000000,15313213703099510603,61300000000000000,938700000000000000,
28000000000000000000,14822784810126582278,63200000000000000,936800000000000000,
29000000000000000000,14360983102918586789,65100000000000000,934900000000000000,
30000000000000000000,13925373134328358209,67000000000000000,933000000000000000,
31000000000000000000,13513788098693759071,68900000000000000,931100000000000000,
32000000000000000000,13124293785310734463,70800000000000000,929200000000000000,
33000000000000000000,12755158184319119669,72700000000000000,927300000000000000,
34000000000000000000,12404825737265415549,74600000000000000,925400000000000000,
35000000000000000000,12071895424836601307,76500000000000000,923500000000000000,
36000000000000000000,11755102040816326530,78400000000000000,921600000000000000,
37000000000000000000,11453300124533001245,80300000000000000,919700000000000000,
